rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,checkout,late,rented_again
557980,379462,mobile,ended,1.0,,,Late under 30 min,come later,Parking
558076,255576,connect,ended,-22.0,,,Early,come earlier,Parking
558223,348551,mobile,ended,251.0,,,Late more than 180 min,come later,Parking
558280,331714,mobile,ended,42.0,,,Late 30-60 min,come later,Parking
558307,341881,connect,ended,93.0,,,Late 60-120 min,come later,Parking
558426,373430,mobile,ended,-7.0,,,Early,come earlier,Parking
558476,333464,mobile,ended,72.0,,,Late 60-120 min,come later,Parking
546674,348293,connect,ended,-141.0,,,Early,come earlier,Parking
546706,349667,mobile,canceled,,,,Early,come earlier,Parking
546717,390966,mobile,ended,,,,Early,come earlier,Parking
546757,410445,mobile,ended,53.0,,,Late 30-60 min,come later,Parking
546777,380364,mobile,ended,180.0,,,Late more than 180 min,come later,Parking
546921,407869,mobile,ended,60.0,,,Late 60-120 min,come later,Parking
547120,285410,mobile,canceled,,,,Early,come earlier,Parking
547185,360902,mobile,ended,18.0,,,Late under 30 min,come later,Parking
547243,404449,mobile,ended,-39.0,,,Early,come earlier,Parking
547300,161825,mobile,ended,559.0,,,Late more than 180 min,come later,Parking
547381,335258,mobile,ended,12.0,,,Late under 30 min,come later,Parking
547426,366037,connect,ended,27.0,,,Late under 30 min,come later,Parking
